AIY_adv	TUY_adv	HeadwayFoll_adv	GapFoll_adv	AIY_stop	TUY_stop	HeadwayFoll_stop	GapFoll_stop	travel_time	adv_indication	decision	car_follow	occ_ratio
149.9	0.1	3.0	2.5	7.6	142.4	4.6	3.4	7.7	1.0	0.0	0.0	163.8
147.5	2.5	2.3	2.0	1.5	148.5	2.2	1.4	4.0	1.0	1.0	0.0	4.5
148.2	1.8	0.7	0.5	2.8	147.2	1.3	0.4	4.6	1.0	1.0	1.0	2.25
149.9	0.1	1.7	1.3	5.3	144.7	2.5	1.6	5.4	1.0	0.0	1.0	285.0
147.5	2.5	8.3	7.9	1.8	148.2	8.6	7.7	4.3	1.0	1.0	0.0	2.25
2.6	147.4	5.1	4.7	10.3	139.7	8.5	7.6	7.7	0.0	0.0	0.0	192.75
148.8	1.2	1.1	0.4	2.5	147.5	2.9	2.1	3.7	1.0	1.0	1.0	0.1489
147.2	2.8	3.2	3.0	1.0	149.0	3.3	2.5	3.8	1.0	1.0	0.0	2.6667
1.4	148.6	4.2	3.9	8.3	141.7	7.3	6.5	6.9	0.0	0.0	0.0	296.6667
145.3	4.7	5.2	4.9	0.4	149.6	6.2	5.3	5.1	1.0	1.0	0.0	2.75
1.6	148.4	19.4	19.0	8.6	141.4	21.6	20.7	7.0	0.0	0.0	0.0	168.25
149.0	1.0	14.1	13.7	4.5	145.5	15.0	14.1	5.5	1.0	0.0	0.0	179.0
1.9	148.1	25.5	25.2	9.0	141.0	28.3	27.5	7.1	0.0	0.0	0.0	203.5
3.2	146.8	10.3	10.0	9.9	140.1	28.3	27.6	6.7	0.0	0.0	0.0	262.0
148.6	1.4	3.0	2.8	2.8	147.2	3.8	3.2	4.2	1.0	1.0	0.0	2.0
147.6	2.4	2.5	2.2	1.1	148.9	2.6	1.9	3.5	1.0	1.0	0.0	2.3333
0.8	149.2	3.2	2.9	5.9	144.1	4.8	4.1	5.1	0.0	0.0	0.0	270.0
147.4	2.6	2.8	2.2	1.5	148.5	28.6	27.4	4.1	1.0	1.0	0.0	1.0
1.8	148.2	4.4	3.8	9.2	140.8	7.7	7.1	7.4	0.0	0.0	0.0	94.625
146.1	3.9	2.0	1.7	0.6	149.4	2.0	1.1	4.5	1.0	1.0	0.0	2.25
147.4	2.6	1.3	0.9	1.9	148.1	1.3	0.4	4.5	1.0	1.0	1.0	2.0
148.6	1.4	1.2	0.8	3.0	147.0	1.1	0.3	4.4	1.0	1.0	1.0	3.0
0.1	149.9	1.5	1.2	6.2	143.8	3.2	2.3	6.1	0.0	0.0	1.0	198.25
147.0	3.0	1.7	1.4	1.4	148.6	2.5	1.8	4.4	1.0	1.0	1.0	2.25
148.0	2.0	1.0	0.6	2.5	147.5	1.1	0.2	4.5	1.0	1.0	1.0	2.6667
0.2	149.8	2.2	1.9	5.5	144.5	3.0	2.2	5.3	0.0	0.0	0.0	204.75
147.7	2.3	3.8	3.4	3.0	147.0	3.4	2.3	5.3	1.0	1.0	0.0	3.3333
