AIY_adv	TUY_adv	OccTime_adv	HeadwayFoll_adv	GapFoll_adv	AIY_stop	TUY_stop	OccTime_stop	HeadwayFoll_stop	GapFoll_stop	travel_time	adv_indication	decision	car_follow	occ_ratio	month	day	hour
93.9	1.1	0.3	7.4	7.1	2.4	97.6	0.7	7.1	6.4	3.5	1.0	1.0	0.0	2.3333	01	01	14
94.3	5.7	0.4	23.3	22.7	99.0	1.0	0.9	19.5	17.8	4.7	1.0	1.0	0.0	2.25	01	01	14
95.7	4.3	0.8	15.9	15.0	0.4	99.6	0.8	26.4	25.7	4.7	1.0	1.0	0.0	1.0	01	01	14
3.2	96.8	0.4	15.7	15.3	11.0	89.0	60.7	18.8	18.0	7.8	0.0	0.0	0.0	151.75	01	01	14
94.4	5.6	0.3	23.1	22.7	99.4	0.6	1.0	22.9	22.0	5.0	1.0	1.0	0.0	3.3333	01	01	14
0.8	99.2	0.3	6.4	6.1	6.8	93.2	67.1	7.4	6.4	6.0	0.0	0.0	0.0	223.6667	01	01	14
99.1	0.9	0.4	37.4	36.4	6.3	93.7	71.1	19.4	17.9	7.2	1.0	0.0	0.0	177.75	01	01	14
0.7	99.3	0.3	10.0	9.6	7.5	92.5	70.4	11.3	10.1	6.8	0.0	0.0	0.0	234.6667	01	01	14
2.5	97.5	1.0	43.9	43.1	9.7	90.3	56.3	42.1	40.6	7.2	0.0	0.0	0.0	56.3	01	01	14
94.2	5.8	0.4	8.2	7.2	99.2	0.8	1.0	3.3	2.1	5.0	1.0	1.0	0.0	2.5	01	01	15
102.4	2.6	0.4	26.9	25.5	0.7	94.3	0.7	28.2	27.0	3.3	1.0	1.0	0.0	1.75	01	01	15
1.2	98.8	0.3	22.2	21.7	8.1	91.9	56.3	21.7	20.3	6.9	0.0	0.0	0.0	187.6667	01	01	15
102.5	1.3	0.4	10.6	10.2	3.2	112.9	0.7	10.3	9.2	4.5	1.0	1.0	0.0	1.75	01	01	15
1.1	115.0	0.6	14.7	14.2	6.7	109.4	78.4	17.3	16.9	5.6	0.0	0.0	0.0	130.6667	01	01	15
110.1	6.0	0.5	7.3	7.0	115.0	1.1	1.0	7.4	6.4	4.9	1.0	1.0	0.0	2.0	01	01	15
111.9	4.2	0.4	45.3	44.7	0.5	116.5	0.9	27.5	25.8	4.7	1.0	1.0	0.0	2.25	01	01	15
113.4	2.7	0.3	1.6	0.7	1.9	115.1	0.9	3.0	2.0	4.6	1.0	1.0	1.0	3.0	01	01	15
